,0
104,"10Klay Thompson, SGGolden State Warriors$35,361,360"
105,"12Jimmy Butler, SFMiami Heat$34,379,100"
106,"14Kemba Walker, PGBoston Celtics$34,379,100"
107,"16Khris Middleton, SFMilwaukee Bucks$33,051,724"
108,"18Kyrie Irving, PGBrooklyn Nets$31,742,000"
109,"20Kevin Love, PFCleveland Cavaliers$31,258,256"
110,"22Ben Simmons, PGPhiladelphia 76ers$30,559,200"
111,"24Steven Adams, CNew Orleans Pelicans$29,592,696"
112,"26Andrew Wiggins, SFGolden State Warriors$29,542,010"
113,"28Devin Booker, SGPhoenix Suns$29,467,800"
114,"30Kristaps Porzingis, CDallas Mavericks$29,467,800"
115,"32Bradley Beal, SGWashington Wizards$28,751,775"
116,"34D'Angelo Russell, PGMinnesota Timberwolves$28,649,250"
117,"36Otto Porter Jr., SFChicago Bulls$28,489,237"
118,"38Giannis Antetokounmpo, PFMilwaukee Bucks$27,528,090"
119,"40Al Horford, COklahoma City Thunder$27,500,000"
120,"1Stephen Curry, PGGolden State Warriors$43,006,362"
121,"3Chris Paul, PGPhoenix Suns$41,358,814"
122,"5John Wall, PGHouston Rockets$41,254,920"
123,"7LeBron James, SFLos Angeles Lakers$39,219,565"
124,"9Paul George, SGLA Clippers$35,450,412"
125,"11Mike Conley, PGUtah Jazz$34,502,130"
126,"13Kawhi Leonard, SFLA Clippers$34,379,100"
127,"15Tobias Harris, PFPhiladelphia 76ers$34,358,850"
128,"17Anthony Davis, PFLos Angeles Lakers$32,742,000"
129,"19Damian Lillard, PGPortland Trail Blazers$31,626,953"
130,"21Pascal Siakam, PFToronto Raptors$30,559,200"
131,"23Kyle Lowry, PGToronto Raptors$30,500,000"
132,"25Joel Embiid, CPhiladelphia 76ers$29,542,010"
133,"27Nikola Jokic, CDenver Nuggets$29,542,010"
134,"29Karl-Anthony Towns, CMinnesota Timberwolves$29,467,800"
135,"31CJ McCollum, SGPortland Trail Blazers$29,354,152"
136,"33Andre Drummond, CCleveland Cavaliers$28,751,775"
137,"35Gordon Hayward, SFCharlotte Hornets$28,500,000"
138,"37DeMar DeRozan, SFSan Antonio Spurs$27,739,975"
139,"39Rudy Gobert, CUtah Jazz$27,525,281"
140,"2Russell Westbrook, PGWashington Wizards$41,358,814"
141,"4James Harden, SGBrooklyn Nets$41,254,920"
142,"6Kevin Durant, PFBrooklyn Nets$40,108,950"
143,"8Blake Griffin, PFDetroit Pistons$36,810,996"
144,"10Klay Thompson, SGGolden State Warriors$35,361,360"
145,"12Jimmy Butler, SFMiami Heat$34,379,100"
146,"14Kemba Walker, PGBoston Celtics$34,379,100"
147,"16Khris Middleton, SFMilwaukee Bucks$33,051,724"
148,"18Kyrie Irving, PGBrooklyn Nets$31,742,000"
149,"20Kevin Love, PFCleveland Cavaliers$31,258,256"
150,"22Ben Simmons, PGPhiladelphia 76ers$30,559,200"
151,"24Steven Adams, CNew Orleans Pelicans$29,592,696"
152,"26Andrew Wiggins, SFGolden State Warriors$29,542,010"
153,"28Devin Booker, SGPhoenix Suns$29,467,800"
154,"30Kristaps Porzingis, CDallas Mavericks$29,467,800"
155,"32Bradley Beal, SGWashington Wizards$28,751,775"
