,0
454,"29Karl-Anthony Towns, CMinnesota Timberwolves$29,467,800"
455,"31CJ McCollum, SGPortland Trail Blazers$29,354,152"
456,"33Andre Drummond, CCleveland Cavaliers$28,751,775"
457,"35Gordon Hayward, SFCharlotte Hornets$28,500,000"
458,"37DeMar DeRozan, SFSan Antonio Spurs$27,739,975"
459,"39Rudy Gobert, CUtah Jazz$27,525,281"
460,"2Russell Westbrook, PGWashington Wizards$41,358,814"
461,"4James Harden, SGBrooklyn Nets$41,254,920"
462,"6Kevin Durant, PFBrooklyn Nets$40,108,950"
463,"8Blake Griffin, PFDetroit Pistons$36,810,996"
464,"10Klay Thompson, SGGolden State Warriors$35,361,360"
465,"12Jimmy Butler, SFMiami Heat$34,379,100"
466,"14Kemba Walker, PGBoston Celtics$34,379,100"
467,"16Khris Middleton, SFMilwaukee Bucks$33,051,724"
468,"18Kyrie Irving, PGBrooklyn Nets$31,742,000"
469,"20Kevin Love, PFCleveland Cavaliers$31,258,256"
470,"22Ben Simmons, PGPhiladelphia 76ers$30,559,200"
471,"24Steven Adams, CNew Orleans Pelicans$29,592,696"
472,"26Andrew Wiggins, SFGolden State Warriors$29,542,010"
473,"28Devin Booker, SGPhoenix Suns$29,467,800"
474,"30Kristaps Porzingis, CDallas Mavericks$29,467,800"
475,"32Bradley Beal, SGWashington Wizards$28,751,775"
476,"34D'Angelo Russell, PGMinnesota Timberwolves$28,649,250"
477,"36Otto Porter Jr., SFChicago Bulls$28,489,237"
478,"38Giannis Antetokounmpo, PFMilwaukee Bucks$27,528,090"
479,"40Al Horford, COklahoma City Thunder$27,500,000"
